--------- beginning of main
05-06 17:52:24.052  4104  4104 D AndroidRuntime: Calling main entry com.android.commands.uiautomator.Launcher
05-06 17:52:24.060  4104  4104 I AconfigPackage: android.media.swcodec.flags is mapped to com.android.media.swcodec
05-06 17:52:24.062  4104  4104 I AconfigPackage: com.google.android.settings.simplemode.flags is mapped to system_ext
05-06 17:52:24.062  4104  4104 I AconfigPackage: com.google.android.systemui is mapped to system_ext
05-06 17:52:24.062  4104  4104 I AconfigPackage: com.google.android.apps.nexuslauncher is mapped to system_ext
05-06 17:52:24.062  4104  4104 I AconfigPackage: com.android.settings.accessibility is mapped to system_ext
05-06 17:52:24.062  4104  4104 I AconfigPackage: com.android.settings.flags is mapped to system_ext
05-06 17:52:24.062  4104  4104 I AconfigPackage: com.google.android.apps.miphone.aiai.matchmaker.overview.ui is mapped to system_ext
05-06 17:52:24.062  4104  4104 I AconfigPackage: com.google.android.settings.flags is mapped to system_ext
05-06 17:52:24.062  4104  4104 I AconfigPackage: com.android.launcher3 is mapped to system_ext
05-06 17:52:24.062  4104  4104 I AconfigPackage: com.android.wallpaper is mapped to system_ext
05-06 17:52:24.062  4104  4104 I AconfigPackage: com.android.settings.media_drm is mapped to system_ext
05-06 17:52:24.062  4104  4104 I AconfigPackage: com.android.systemui.accessibility.accessibilitymenu is mapped to system_ext
05-06 17:52:24.062  4104  4104 I AconfigPackage: com.android.settings.keyboard is mapped to system_ext
05-06 17:52:24.062  4104  4104 I AconfigPackage: com.android.server.policy.feature.flags is mapped to system_ext
05-06 17:52:24.062  4104  4104 I AconfigPackage: com.android.settings.factory_reset is mapped to system_ext
05-06 17:52:24.062  4104  4104 I AconfigPackage: com.google.android.haptics.flags is mapped to system_ext
05-06 17:52:24.063  4104  4104 I AconfigPackage: com.android.permission.flags is mapped to com.android.permission
05-06 17:52:24.063  4104  4104 I AconfigPackage: com.android.icu is mapped to com.android.i18n
05-06 17:52:24.064  4104  4104 I AconfigPackage: com.android.appsearch.flags is mapped to com.android.appsearch
05-06 17:52:24.064  4104  4104 I AconfigPackage: android.uprobestats.mainline.flags is mapped to com.android.uprobestats
05-06 17:52:24.065  4104  4104 I AconfigPackage: android.provider.flags is mapped to com.android.configinfrastructure
05-06 17:52:24.065  4104  4104 I AconfigPackage: com.android.server.deviceconfig is mapped to com.android.configinfrastructure
05-06 17:52:24.066  4104  4104 I AconfigPackage: com.android.nfc.flags is mapped to system
05-06 17:52:24.066  4104  4104 I AconfigPackage: android.app.admin.flags is mapped to system
05-06 17:52:24.066  4104  4104 I AconfigPackage: android.database.sqlite is mapped to system
05-06 17:52:24.066  4104  4104 I AconfigPackage: com.android.providers.calendar is mapped to system
